Horizon,Group,File,RMSE_Min,RMSE_Max,NP_Min,NP_Max,MAPE_Min,MAPE_Max,r_Min,r_Max
1,baseline,baseline_480_1.txt,0.008305019718898297,0.012019804621353233,0.06666666666666667,0.226,0.017064890078591792,0.01775801216083871,28.0,28.0
1,best,best_480_1.txt,0.009423547931709053,0.022107493776434818,0.06133333333333333,0.10133333333333333,0.015599566855354487,0.04060118242012034,27.81724625065422,28.245492032360765
1,random,random_480_1.txt,0.013790303200662936,0.031157053769265326,0.064,0.3893333333333333,0.02123207795978397,0.06723077211409209,24.028781953568227,32.98560246889694
10,baseline,baselines.txt,0.022271589081284425,0.027548258756411703,0.08266666666666667,0.284,0.031041113779039408,0.03446235643697599,,
10,best,best_480.txt,0.016293684254780172,0.05614834388161343,0.07533333333333334,0.144,0.027447248393295886,0.08693829327616592,27.81724625065422,28.245492032360765
10,random,random_480.txt,0.029016980258852826,0.137298981927559,0.082,0.6106666666666667,0.0375610890348196,0.2731872187196169,24.028781953568227,32.98560246889694
20,baseline,baseline_480_20.txt,0.07086889549231261,0.07757945777265231,0.106,0.3546666666666667,0.09902829410798503,0.10365464074486008,28.0,28.0
20,best,best_480_20.txt,0.04973436285611751,0.1811081647220382,0.08866666666666667,0.17533333333333334,0.06157839557211624,0.27558470169107857,27.81724625065422,28.245492032360765
20,random,random_480_20.txt,0.06092488058630313,0.2603664369329778,0.10666666666666667,0.706,0.0823533147893419,0.5992746839022675,24.028781953568227,32.98560246889694
